,dummy,baseline,technical,sentiment,combined,Technical Improvement,Sentiment Improvement,Combined Improvement
linear,0.6813,0.5361201616929195,0.43306665830237323,0.5194468112423267,0.430990178769599,0.10305350339054631,0.016673350450592817,0.10512998292332054
rf,0.6813,0.5940310280038382,0.4662118450264215,0.5145505129494569,0.4602344074557273,0.12781918297741673,0.07948051505438136,0.13379662054811092
gb,0.6813,0.4958144977225888,0.43462756506769906,0.4897182192128119,0.43342290837273334,0.061186932654889725,0.006096278509776898,0.06239158934985545
lgbm,0.6813,0.4960424162093596,0.44363289024875713,0.4921848953315028,0.43998327834385875,0.0524095259606025,0.003857520877856846,0.056059137865500874
xgb,0.6813,0.5073135142401195,0.45561016939197063,0.5075577953110997,0.45804929155977997,0.05170334484814887,-0.00024428107098017904,0.04926422268033953
mlp,0.6813,0.49059152725325594,6.504586727755678,0.4905916826459086,5.240192871630859,-6.013995200502421,-1.553926526343119e-07,-4.749601344377602
