,dummy,baseline,technical,sentiment,combined,Technical Improvement,Sentiment Improvement,Combined Improvement
linear,0.8239,0.7660386400440855,0.5515582813298978,0.729534947846356,0.5478410752308525,0.2144803587141877,0.03650369219772953,0.21819756481323305
rf,0.8239,0.9085115739436622,0.5971298348196172,0.6947954109758456,0.5780371611010202,0.311381739124045,0.2137161629678166,0.330474412842642
gb,0.8239,0.6819540982006778,0.5506846799947727,0.6685872883489574,0.5523472633858093,0.1312694182059051,0.01336680985172034,0.12960683481486845
lgbm,0.8239,0.6751750682387677,0.5683613114112207,0.6699012960036844,0.561604129885435,0.10681375682754701,0.005273772235083296,0.11357093835333276
xgb,0.8239,0.7173026749565338,0.5981082646125822,0.6968530273527166,0.5952634529169237,0.11919441034395162,0.020449647603817178,0.12203922203961004
mlp,0.8239,0.6705607394361572,14307.28016292518,0.6674607589990958,1159.558547926395,-14306.609602185745,0.0030999804370613893,-1158.8879871869588
