,n_estimators,learning_rate,score
410_0.36750000000000005,410,0.36750000000000005,0.6978983661079905
410_0.38375000000000004,410,0.38375000000000004,0.7059744276740563
410_0.4,410,0.4,0.7173984282016088
435_0.01,435,0.01,0.5620517954204044
435_0.026250000000000002,435,0.026250000000000002,0.5690845628096867
435_0.0425,435,0.0425,0.5747099376660272
435_0.058750000000000004,435,0.058750000000000004,0.5811345222744345
435_0.075,435,0.075,0.5856656727884981
435_0.09125,435,0.09125,0.5933746441338953
435_0.1075,435,0.1075,0.5980621480610747
435_0.12375,435,0.12375,0.6019155934835674
435_0.14,435,0.14,0.6068042776424696
435_0.15625,435,0.15625,0.6180131733488192
435_0.17250000000000001,435,0.17250000000000001,0.6219360291496763
435_0.18875000000000003,435,0.18875000000000003,0.6304330961375771
435_0.20500000000000002,435,0.20500000000000002,0.6334467216045009
435_0.22125,435,0.22125,0.6401621102325487
435_0.23750000000000002,435,0.23750000000000002,0.644915700525835
435_0.25375000000000003,435,0.25375000000000003,0.651984623576755
435_0.27,435,0.27,0.6558097665281778
435_0.28625,435,0.28625,0.670724121073611
435_0.3025,435,0.3025,0.6755574805748554
435_0.31875000000000003,435,0.31875000000000003,0.6811092933838866
435_0.335,435,0.335,0.684891146517505
435_0.35125,435,0.35125,0.696295986696854
435_0.36750000000000005,435,0.36750000000000005,0.7023597911962112
435_0.38375000000000004,435,0.38375000000000004,0.7090455420570683
435_0.4,435,0.4,0.721478991484362
460_0.01,460,0.01,0.5623457885975534
460_0.026250000000000002,460,0.026250000000000002,0.5695686590415665
460_0.0425,460,0.0425,0.5754388686256869
460_0.058750000000000004,460,0.058750000000000004,0.5823932791045366
460_0.075,460,0.075,0.5868319936171164
460_0.09125,460,0.09125,0.5946482707653077
460_0.1075,460,0.1075,0.5996577129741381
460_0.12375,460,0.12375,0.6039682644480623
460_0.14,460,0.14,0.6086673077780909
460_0.15625,460,0.15625,0.6200615530241269
460_0.17250000000000001,460,0.17250000000000001,0.6238833584647941
460_0.18875000000000003,460,0.18875000000000003,0.6332307899260304
460_0.20500000000000002,460,0.20500000000000002,0.6359755080603565
460_0.22125,460,0.22125,0.6420847721559543
460_0.23750000000000002,460,0.23750000000000002,0.6474093389414257
460_0.25375000000000003,460,0.25375000000000003,0.6551035503007688
460_0.27,460,0.27,0.6594932699334147
460_0.28625,460,0.28625,0.6744057712883658
460_0.3025,460,0.3025,0.6810505866233334
460_0.31875000000000003,460,0.31875000000000003,0.6845597405890543
460_0.335,460,0.335,0.6898039438996435
460_0.35125,460,0.35125,0.7004783759942503
460_0.36750000000000005,460,0.36750000000000005,0.7080546919140237
460_0.38375000000000004,460,0.38375000000000004,0.7105230370448271
460_0.4,460,0.4,0.7251200162156598
485_0.01,485,0.01,0.5625738587488652
485_0.026250000000000002,485,0.026250000000000002,0.5699873290064265
485_0.0425,485,0.0425,0.5764283287514207
485_0.058750000000000004,485,0.058750000000000004,0.5833683606680444
485_0.075,485,0.075,0.587818160852992
485_0.09125,485,0.09125,0.5962718844856107
485_0.1075,485,0.1075,0.6008411170820844
485_0.12375,485,0.12375,0.6064241402110958
485_0.14,485,0.14,0.6106992202284321
485_0.15625,485,0.15625,0.6224001262310014
485_0.17250000000000001,485,0.17250000000000001,0.6256614434594256
485_0.18875000000000003,485,0.18875000000000003,0.6356572013504385
485_0.20500000000000002,485,0.20500000000000002,0.6377680906459269
485_0.22125,485,0.22125,0.6450945313148934
485_0.23750000000000002,485,0.23750000000000002,0.6511020443302711
485_0.25375000000000003,485,0.25375000000000003,0.657686448919444
485_0.27,485,0.27,0.6626969941356043
485_0.28625,485,0.28625,0.6767452495428369
485_0.3025,485,0.3025,0.683490683144303
485_0.31875000000000003,485,0.31875000000000003,0.6900163128165373
485_0.335,485,0.335,0.6934909251726792
485_0.35125,485,0.35125,0.7047369381302919
485_0.36750000000000005,485,0.36750000000000005,0.7115360432887899
485_0.38375000000000004,485,0.38375000000000004,0.7141951300543309
485_0.4,485,0.4,0.729839162283732
510_0.01,510,0.01,0.5628301861736434
510_0.026250000000000002,510,0.026250000000000002,0.5704699999656324
510_0.0425,510,0.0425,0.5774212617091452
510_0.058750000000000004,510,0.058750000000000004,0.5844163990808635
510_0.075,510,0.075,0.5887630273475942
510_0.09125,510,0.09125,0.5980368437028285
510_0.1075,510,0.1075,0.602745003535435
510_0.12375,510,0.12375,0.6078362344606407
510_0.14,510,0.14,0.6126013791850754
510_0.15625,510,0.15625,0.6240104292579147
510_0.17250000000000001,510,0.17250000000000001,0.6275572224677489
510_0.18875000000000003,510,0.18875000000000003,0.6370934826302737
510_0.20500000000000002,510,0.20500000000000002,0.6409283433415827
510_0.22125,510,0.22125,0.6472391446551199
510_0.23750000000000002,510,0.23750000000000002,0.6537506823988176
510_0.25375000000000003,510,0.25375000000000003,0.6601436791115246
510_0.27,510,0.27,0.6655380309727847
510_0.28625,510,0.28625,0.6793126224049723
510_0.3025,510,0.3025,0.6863060049593881
510_0.31875000000000003,510,0.31875000000000003,0.6926774994507467
510_0.335,510,0.335,0.6963315750986627
510_0.35125,510,0.35125,0.708464273780225
510_0.36750000000000005,510,0.36750000000000005,0.7151654311766481
510_0.38375000000000004,510,0.38375000000000004,0.7191556214417947
510_0.4,510,0.4,0.7326387930763567
535_0.01,535,0.01,0.5630267239802762
535_0.026250000000000002,535,0.026250000000000002,0.5709233302349023
535_0.0425,535,0.0425,0.5782315488998027
535_0.058750000000000004,535,0.058750000000000004,0.5854337538985591
535_0.075,535,0.075,0.5896877930830441
535_0.09125,535,0.09125,0.5995427709568294
535_0.1075,535,0.1075,0.6048503134528737
535_0.12375,535,0.12375,0.6097753582403322
535_0.14,535,0.14,0.6142727962839941
535_0.15625,535,0.15625,0.6258310729565972
535_0.17250000000000001,535,0.17250000000000001,0.6298385525678596
535_0.18875000000000003,535,0.18875000000000003,0.6391293690030214
535_0.20500000000000002,535,0.20500000000000002,0.642422922254681
535_0.22125,535,0.22125,0.6497774972033235
535_0.23750000000000002,535,0.23750000000000002,0.6565640302554747
535_0.25375000000000003,535,0.25375000000000003,0.6613396369557142
535_0.27,535,0.27,0.6691497878261241
535_0.28625,535,0.28625,0.682438174120476
535_0.3025,535,0.3025,0.6896795479265141
