,baseline,technical,sentiment,combined
0,0.5764774921614435,0.5151600000790804,0.5761562100504032,0.5029605597022972
1,1.497339837611303,1.6020221910928594,1.6090174683723102,1.5701638747572526
2,0.44063435121718264,0.41650478397353397,0.4456912046185592,0.40516829495982476
3,0.9184294053730497,0.8121598399693373,0.9148003595303014,0.7387127167131514
base,0.6751750682387677,0.5683613114112207,0.6699012960036844,0.561604129885435
