time,rawContent
2021-08-13 12:03:31+00:00,#focuslist: $ESTC $CRSP $SHOP $NOVA $QCOM $HOLX $AVGO $MP $PTON $CHDN $ENPH $TXN $LOB $PERI $AFRM $CWH $SI
2021-08-13 19:59:37+00:00,Bet On It: Canada single sports wagering set to begin at end of month $DKNG $GNOG $PENN $MGM $CHDN $WYNN $CZR $RSI $ACEL $BALY $BYD $PDYPY $GAN $GENI $LVS $SGMS $SCR $PBTHF
2021-08-14 23:41:47+00:00,"Listening to  @ToddTVG just now &amp; @BillFinley3 on @Down_StretchSXM this a m re end ARL. if ‘the people’ can send $GME to 300+ &amp;save $AMC Y not save ARL? Make it a “meme track” We don’t bet $chdn (or even @TwinSpires Bill, which I use 2) unless ARL goes to  horsemen. Just Boycott"
2021-08-17 16:55:32+00:00,New Jersey reports July gaming revenue up 70.4% to $450.6M $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG
2021-08-18 13:37:05+00:00,Below200DaysMa $CAKE $42.13 -1.03% -5.52% -10.29% -28.95% 33.87 $CDE $6.64 0.38% -6.14% -8.97% -28.47% 33.97 $CGC $17.42 -0.23% -7.73% -10.25% -23.96% 30.28 $CHDN $181.11 -1.52% -7.66% 2.15% -9.09% 38.43 $CLOV $8.12 -0.67% -0.18% -2.23% 8.63% 44.04
2021-08-18 13:37:12+00:00,LosingStreak5 $CGC $17.42 -0.23% -7.73% -10.25% -23.96% 30.28 $CHDN $181.11 -1.52% -7.66% 2.15% -9.09% 38.43 $CLDT $11.32 -0.09% -5.27% -1.39% -12.72% 40.55 $CREE $78.38 -9.12% -15.69% -8.11% -14.64% 24.77 $CRSR $26.79 -0.07% -4.12% -6.33% -15.14% 31.27
2021-08-18 14:07:06+00:00,Below200DaysMa $CDE $6.36 -3.93% -10.17% -12.88% -31.54% 29.97 $CGC $17.03 -2.45% -9.79% -12.25% -25.66% 28.28 $CHDN $182.43 -0.80% -6.99% 2.90% -8.43% 39.73 $CLOV $8.14 -0.37% 0.12% -1.93% 8.97% 44.24 $CLX $169.66 -0.91% 1.89% -9.63% -6.43% 43.90
2021-08-18 14:34:36+00:00,It’s a C day. $CRM $CHDN $COIN
2021-08-19 15:50:47+00:00,"North Carolina Senate approves sports betting bill, iGB reports $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG"
2021-08-20 19:59:17+00:00,"Bet On It: North Carolina bill clears senate, faces opposition in House $SRAD $PDYPY $GENI $MGM $PENN $DKNG $ACEL $BALY $BYD $CZR $CHDN $GAN $LVS $RSI $SGMS $SCR $WYNN"
