time,rawContent
2021-10-01 13:19:38+00:00,"September Update: Tracking portfolio +0.2% MoM, +53% YTD and +550% since 2017. A few highlights: - $VHI +124% in 1 year - $PAAS / $PAASF +50% in 8 months - $KKVX +58% in 2.5 months - 45 ideas remain active on SSI. Full report: $CUK $CCL $ML.V $BSMX $OSG"
2021-10-01 13:29:56+00:00,$RCL  $CCL  $NCLH   $CUK  Cruzelines are moving to the $MRK  news
2021-10-06 03:38:09+00:00,"I want  #TejasswiPrakash  &amp; #KaranKundrra to realise their potential and step up their game If they don't, makers will $cuk up #BB15 with overdose of Potik batshit nalla. This expired milk package is going to ruin it for viewers So teju &amp; Karan jago pls  #BiggBoss15"
2021-10-22 19:11:04+00:00,"Carnival plc price target raised to 1,600 GBp from 1,400 GBp at Berenberg $CUK"
2021-10-25 10:02:18+00:00,"Citi downgrades Carnival to Neutral, sees more upside in Norwegian $CCL $CUK $NCLH"
2021-10-27 03:13:24+00:00,"The probability of this advice being random is high. Still, pump and dump Carnival $CUK #BullMarket"
2021-10-28 21:05:22+00:00,Recent upgrades by MORNINGSTAR: $EFX Hold to Buy $IBM Sell to Hold $IPG Sell to Hold $DGX Sell to Hold $RCI Hold to Buy $AN Sell to Hold $ASML Sell to Hold $DRI Sell to Hold $CUK Hold to Buy #StockMarket #Trade #TradingView #Invest #Investing #Business #SP500 $SPY $SPX $AAPL
2021-11-01 20:30:07+00:00,"Tomorrow's #watchlist for #NYSE, #NASDAQ between $20 and $30: $BRX $CADE $CHNG $CNK $CUK $DVAX $FLR $GPS $ICLN $JWN $LAC $M $NAVI $NLSN $NWL $OPEN $ORI $PERI $PLTR $PPL $PSTG $QS $QYLD $SU $VRT $VST $WBT $WEN"
2021-11-03 21:09:49+00:00,"Tomorrow's #watchlist for #NYSE, #NASDAQ between $20 and $30: $BOX $CCJ $CCL $CUK $DISCA $DISCK $DVAX $JETS $KIM $LAC $LEVI $MAC $NCLH $NI $NWL $PK $PPL $QYLD $RF"
2021-11-05 12:29:44+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-11-05 07:29   Price: 21.18   ATR: 0.68   Daily RVOL 0.98   Beta: 2.18   Short Float: 1.17%
2021-11-05 16:57:14+00:00,$CUK - Carnival Unit Holland America Line Launches Free Cruise Offer for Children
2021-11-05 16:57:17+00:00,$CUK - Carnival Unit Holland America Line Launches Free Cruise Offer for Children
2021-11-08 13:30:55+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-11-08 07:29   Price: 22.97   ATR: 0.78   Daily RVOL 1.94   Beta: 2.18   Short Float: 2.00%
2021-11-17 14:01:05+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-11-17 08:01   Price: 19.87   ATR: 0.71   Daily RVOL 1.27   Beta: 2.17   Short Float: 1.13%
2021-11-19 17:14:47+00:00,$CUK is on the move: -2.78%⁣ ⁣ Carnival shares are trading lower as Europe COVID concerns weigh on travel and reopening names.
2021-11-22 19:01:38+00:00,"$CCL $CUK HOLLAND AMERICA LINE'S BLACK FRIDAY SALE INCLUDES CREW APPRECIATION WITH SHORE EXCURSIONS, DRINKS, SPECIALTY DINING AND WI-FI"
2021-11-26 10:56:50+00:00,"Airlines, cruise operators sink with new variant detected in South Africa $ALK $LUV $DAL $JBLU $UAL $SAVE $AAL $CCL $NCLH $RCL $CUK"
2021-11-26 11:46:52+00:00,Covid $RCL(78.34) down 7.50 $CUK(18.58) down 2 $CCL(20.16) down 2 $HTZ(24.40) down 2.50 $WYNN(91.20) down 5 $HLT(145.29) down 8
2021-12-01 14:27:44+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-12-01 08:27   Price: 16.19   ATR: 0.91   Daily RVOL 2.10   Beta: 2.17   Short Float: 0.71%
2021-12-06 18:26:59+00:00,$CUK is up 10.56% to $17.59
2021-12-08 12:47:43+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-12-08 06:47   Price: 17.11   ATR: 1.07   Daily RVOL 2.46   Beta: 2.20   Short Float: 1.11%
2021-12-13 14:28:45+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-12-13 08:27   Price: 17.73   ATR: 1.01   Daily RVOL 1.02   Beta: 2.20   Short Float: 1.28%
2021-12-14 21:36:04+00:00,"HOLLAND AMERICA LINE CRUISES INTO WAVE SEASON WITH 'THE ULTIMATE UPGRADE EVENT' PROMOTION THAT INCLUDES STATEROOM UPGRADES, $75 ALASKA FARES FOR KIDS AND POPULAR 'HAVE IT ALL' AMENITIES $CCL $CUK"
2021-12-16 22:30:11+00:00,"Tomorrow's #short #watchlist for #trading on #NYSE, #NASDAQ between $10 and $20: $AAL $AGNC $ARCC $ARRY $BBBY $BEKE $CCL $CORT $CUK $EDOC $FAZ $FSR $FUBO $GPS $GRUB $GT $HST $IBN $JETS $JMIA $KC $MAC $MFC $NCLH $NYCB $OPEN $PACB $PK $PLTR $REAL $RKT $SFIX $SH $SHO $SPCE $SPXS"
2021-12-21 13:59:19+00:00,The previous 20% discount for $BBL / $BHP dual shares structure has been eliminated through the merger. What about other similar discounts? • $VWAPY / $VWAGY -34% • $CUK / $CCL -9% • $RIO / $RTNTF -9% And a few more below.
2021-12-21 14:30:22+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-12-21 08:30   Price: 17.23   ATR: 1.00   Daily RVOL 1.51   Beta: 2.20   Short Float: 1.29%
2021-12-23 03:47:38+00:00,"$CCL $CUK $NCLH $RCL lesson learned for next election/plandemic, when China or other countries over their start having problems, it is a good time to liquidate."
2021-12-31 10:08:24+00:00,$CCL $CUK $RCL $NCLH oh…so one minute they’re saying tests can be false and then the next minute…they’re reliable…oh 🤔
2022-01-04 12:31:37+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2022-01-04 06:31   Price: 17.23   ATR: 1.00   Daily RVOL 1.51   Beta: 2.20   Short Float: 1.29%
2022-01-07 22:36:18+00:00,"Monday's #long #watchlist for #trading on #NYSE, #NASDAQ between $20 and $30: $APA $BKR $BP $CCL $CTRA $CUK $DBC $EPD $HAL $IBN $IVZ $JETS $KEY $MFC $NI $NWL $PBCT $PEB $RF $SAVE $T $TS $TZA $UNM $WEN $WMB $X"
2022-01-08 23:14:00+00:00,53 funds increasing $CUK vs last Q!#cuk CARNIVAL PLC
2022-01-12 16:32:13+00:00,"$CUK~Eagle Investors is a distinguished global trading community for Stocks, Options, and Cryptocurrencies. https://discord..gg/hHyAcn6AFZ"
2022-01-20 18:33:13+00:00,"CUK (CARNIVAL PLC) 🚨 #Insider #stock alert! 💰 #Sale on 2022-01-18 - $CUK 🇺🇸: Thamm Michael Olaf (Group CEO - Costa Crociere), total amount $418.697. Float 1,034.00M shares"
2022-01-21 16:50:21+00:00,First out// $CUK: CARNIVAL CRUISE LINE ADDING MORE EMBARKATION ENHANCEMENTS AS IT COMMITS TO CURRENT PROTOCOLS FOR THE FORESEEABLE
2022-01-21 16:58:48+00:00,"Carnival adding more embarkation enhancements, commits to protocols $CCL $CUK"
2022-01-21 17:00:15+00:00,"Carnival adding more embarkation enhancements, commits to protocols $CCL $CUK"
2022-01-31 14:21:07+00:00,Carnival announces extension of stock share sale program $CCL $CUK
2022-01-31 14:21:23+00:00,Carnival announces extension of stock share sale program $CCL $CUK
2022-02-04 10:29:22+00:00,"Carnival plc provides update to deployment plans, fleet $CUK"
2022-02-13 18:19:01+00:00,$CUK Roger Stone approves
2022-02-14 21:42:37+00:00,#short #watchlist for #trading on #nyse #nasdaq between $10 and $20: $ADPT $AGNC $AMTX $ATRA $ATUS $BCS $BGFV $BIGZ $BTZ $CRF $CSQ $CUK $CVAC $DAWN $DFEN $DOLE $EDIT $EHTH $FIGS $FLNC $FMTX $FTCH $GLT $GOF $GPS $HYT $IBN $ICPT $ING $ISEE $LABU $LAZR $MGNX $NRIX $NVTA $NZF $OLPX
2022-02-24 13:21:54+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2022-02-24 07:21   Price: 18.80   ATR: 1.05   Daily RVOL 1.19   Beta: 2.08   Short Float: 1.27%
2022-02-24 13:33:23+00:00,Carnival Corporation &amp; plc is down -6.06% in the pre-market $CUK
2022-03-01 14:01:36+00:00,"Carnival Corporation &amp; plc traded 4.326M shares, 52% above average volume $CUK"
2022-03-04 12:40:42+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2022-03-04 06:40   Price: 18.80   ATR: 1.05   Daily RVOL 1.19   Beta: 2.08   Short Float: 1.27%
2022-03-04 14:20:16+00:00,Carnival Corporation &amp; plc is down -3.90% in the pre-market $CUK
2022-03-05 03:48:13+00:00,"Carnival Corporation &amp; plc traded 4.674M shares, 65% above average volume $CUK"
2022-03-07 03:30:29+00:00,"Carnival Corporation &amp; plc traded 4.683M shares, 68% above average volume $CUK"
2022-03-07 22:28:20+00:00,"Carnival Corporation &amp; plc traded 5.106M shares, 81% above average volume $CUK"
2022-03-08 13:16:03+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2022-03-08 07:15   Price: 18.80   ATR: 1.05   Daily RVOL 1.19   Beta: 2.08   Short Float: 1.27%
2022-03-09 03:50:45+00:00,"Carnival Corporation &amp; plc traded 5.376M shares, 89% above average volume $CUK"
2022-03-09 14:21:05+00:00,Carnival Corporation &amp; plc is up 6.45% in the pre-market $CUK
2022-03-09 22:39:23+00:00,"Carnival Corporation &amp; plc traded 4.762M shares, 67% above average volume $CUK"
2022-03-10 21:43:26+00:00,#long #watchlist for #trading on #nyse #nasdaq between $10 and $20: $ACVA $APLE $ARIS $ARRY $ASAZY $ASTL $ATCO $CCCS $CCL $CLVT $CMRE $CUK $CYH $DAN $EB $EFC $EVGO $FLNC $FULC $FXLV $GES $GFI $GGAL $GRPN $HA $HOPE $HSC $HST $HTZWW $IDYA $IEA $INVA $LAUR $LFG $NCLH $OEC $PARR $PBR
2022-03-11 13:38:17+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2022-03-11 07:37   Price: 18.80   ATR: 1.05   Daily RVOL 1.19   Beta: 2.08   Short Float: 1.27%
2022-03-17 01:42:15+00:00,"Carnival Corporation &amp; plc traded 5.118M shares, 74% above average volume $CUK"
2022-03-18 12:03:09+00:00,Carnival Corporation &amp; plc is down -3.38% in the pre-market $CUK
2022-03-22 11:00:20+00:00,"Top earnings announcements Before Market today include $CCL, $GDS, $CUK, $CYXT, $SNCE #stockstowatch #earnings"
2022-03-22 16:53:44+00:00,"$CCL $CUK - Carnival GAAP EPS of -$1.66 misses by $0.38, revenue of $1.62B misses by $640M"
2022-03-31 17:41:25+00:00,"Carnival Corporation &amp; plc traded 2.497M shares, -18% below average volume $CUK"
