time,rawContent
2021-06-21 21:00:09+00:00,"Popular: $MVIS, $HBAR.X, $BGNE, $PING, $GTHX, $GNRC, $PRU, $CLDX, $WELL, $GBT, $TUP, $CZR"
2021-06-22 09:55:19+00:00,$EVRI $SGMS $CZR Gambling stonks up
2021-06-22 19:48:12+00:00,Sports betting just legalized in Canada --&gt;&gt; $DKNG $PENN $CZR
2021-06-22 20:23:16+00:00,Canada has passed sports betting and wagering is expected to start this year. • $SCR - based in Toronto with large media following • $PENN - owns minority stake in $SCR • $DKNG - has partnership with NFL in Canada • $CZR - has casino in Ontario.  Not investment advice.
2021-06-22 20:47:48+00:00,Canada has passed sports betting and wagering is expected to start this year. $DKNG $CZR $PENN $GAN $BETZ
2021-06-23 07:12:10+00:00,#RT @roundhill: RT @mattdorta: Canada has passed sports betting and wagering is expected to start this year. • $SCR - based in Toronto with large media following • $PENN - owns minority stake in $SCR • $DKNG - has partnership with NFL in Canada • $CZR - has casino in On…
2021-06-23 15:56:35+00:00,"$CZR SOLD 4 @ $102.46; -$0.86, -0.21% $SGMS $UWN $FLL $ERI"
2021-06-23 19:35:13+00:00,NFL just announced they are hiring Goldman to explore partnerships for their media properties like the Redzone channel and NFL Network.  Could $DKNG $PENN $CZR buy those parts up and parlay their interests?
2021-06-24 10:52:51+00:00,Remember $AMC has the highest weight in $IWM 0.73% … $GME $PENN $CZR $PLUG $RH are all in the top 5-6 from weighting standpoint.
2021-06-24 15:03:12+00:00,Gambling dates back to 2300BC.  It’s not going anywhere any time soon.  Here are a few gambling stock tickers to check out before you place your next bet.  $CZR $GAN $MGM $WMH $DKNG $PENN $WYNN
2021-06-24 19:10:00+00:00,$QSI $BFLY $MARA $CZR great day 💎🤲🏻🔥
2021-06-24 20:30:35+00:00,$CZR Horseshoe Hammond Remains Part Of Caesars Entertainment
2021-06-24 20:49:01+00:00,$CZR gets to keep ownership of @HorseshoeHammnd after the Indiana Gaming Commission amended its order requiring the sale of a third casino in the state.  CZR also owns @IndianaGrand and @HoosierPark
2021-06-25 16:26:25+00:00,Sports betting is expect to start in Louisiana by the NFL season.  • $CZR - Has naming rights to the Superdome and owns casino in state.  • $PENN - Has multiple casinos in state.  • $GNOG - Has casino in state.  • 41 mobile licenses up for grabs.  Not investment advice.
2021-06-25 17:12:51+00:00,#RT @roundhill: RT @mattdorta: Sports betting is expect to start in Louisiana by the NFL season.  • $CZR - Has naming rights to the Superdome and owns casino in state.  • $PENN - Has multiple casinos in state.  • $GNOG - Has casino in state.  • 41 mobile licenses up for…
2021-06-25 17:46:40+00:00,Best and worst performing S&amp;P 500 stocks so far today Best: 1 Nike $NKE 2 CarMax $KMX 3 Darden $DRI 4 $DISH 5 Enphase $ENPH 6 Lincoln $LNC 7 Wells $WFC Worst: 1 FedEx $FDX 2 Caesars $CZR 3 AbbVie $ABBV 4 Penn National $PENN 5 Norton $NLOK 6 Amazon $AMZN 7 PayPal $PYPK
2021-06-25 18:22:50+00:00,May Las Vegas McCarran Airport traffic +21.0% m/m vs May 2019.  $WYNN $MGM $CZR
2021-06-25 18:59:24+00:00,"$CZR $106.00 Jul 02 2021 CALL ⬆️🌊 Underlying: $101.77 % Difference: 3.99% Daily $ Volume: $511,168 Volume: 6,272 OI: 105 IV: 39.41% Bid/Ask: $0.78/$0.85"
2021-06-25 19:07:47+00:00,$CZR $PENN added for swing
2021-06-25 19:40:03+00:00,WL: $ABNB $ACN $AMD $AMT $AMZN $APP $APPS $ARVN $ARWR $BEAM $BFLY $BILI $CELH $CME $CROX $CZR $DELL $DKS $EBAY $FIVN $FTCH $HUBS $LSCC $LULU $NFLX $PINS $PTON $RBLX $RIOT $SBUX $SE $SHAK $SI $SNAP $TEAM $TIXT $UPST $ZBRA Positions By Size: $NET $AVID $CRWD $SNAP $CROX $UPST
2021-06-25 19:57:48+00:00,"Bull Forecasts June 25, 2021 12:53:00 PDT 🐂🐂🐂🐂🐂 ticker : log change intraday $WMT : 0.98 $LOW : 0.02 $BYND : 2.51 $XLF : 0.88 $ATVI : -0.72 $ASAN : 1.20 $LZB : -1.05 $LVS : 1.34 $VXX : -0.82 $CZR : -1.43"
2021-06-25 20:03:56+00:00,"Bull Forecasts June 25, 2021 12:59:00 PDT 🐂🐂🐂🐂🐂 ticker : log change intraday $LOW : 0.06 $ASAN : 1.31 $GSAT : 11.26 $ATVI : -0.72 $XLF : 0.87 $CZR : -1.53 $WMT : 1.12 $LVS : 1.31 $BYND : 2.70 $WBA : 0.38"
2021-06-25 23:30:16+00:00,$FDX lost over 3% despite topping #earnings expectations and is Friday's worst performing $SPX #stock; $CZR closed down over 2% on the day #trading
2021-06-26 16:47:28+00:00,Inside weeks from my filtered stock scan for this week: $AFG $AM $APA $ARNC $BCEI $BNTX $BPOP $CC $CHX $CIT $CLF $CNQ $COF $COHR $COMM $CSTM $CVE $CZR $DXC $ET $FCNCA $GM $GPRE $HP $IGT $MPC $NAVI $NCR $NMRK $NTLA $NUE $ODP $OKE $OLN $PBF $PDCE $QFIN $RHP $RRR $SBNY $SC $SCHW
2021-06-28 18:22:00+00:00,Some of the most popular stocks that hit new 1 Month Lows at some point today Anheuser $BUD Raytheon $RTX Fidelity $FIS Coupang $CPNG Newmont $NEM Marriot $MAR Dupont $DD $LVS Barrick $GOLD Southwest $LUV Lufax $LU Delta $DAL Royal Caribbean $RCL Caesars $CZR United $UAL $WYNN
2021-06-28 22:22:59+00:00,"Some nice trades today. $BABA couldn’t get through the 100 SMA in the morning, but I got some shares off in front of it before it stopped me out for -.5R. Shorted $CZR on the break below $100 for 2R. Small loss on shorting $PLTR after getting stuck at $27.35 for -.25R"
2021-06-29 12:26:43+00:00,All the hospitality/re-opening stocks took a hair cut yesterday.  I'm betting on that being relatively short lived. Added to core positions and swing entries on $WYNN and $SVC and looking to add new ones in $LVS and $CZR
2021-06-29 16:06:04+00:00,"$CZR with some huge distributive volume A reopening themed stock, that may be priced in enough"
2021-06-29 18:08:48+00:00,"$CZR $130.00 Dec 17 2021 CALL ⬆️🌊 Underlying: $101.56 % Difference: 21.88% Daily $ Volume: $875,000 Volume: 2,000 OI: 199 IV: 45.37% Bid/Ask: $4.30/$4.45"
2021-06-30 13:44:32+00:00,Nevada reported statewide gaming win of $1.23B for the month of May up from $1.04B in April $MGM $CZR $WYNN $LVS
2021-06-30 14:11:12+00:00,$CZR added more into this push up looking for $105-107
2021-06-30 14:20:17+00:00,"Bear Forecasts June 30, 2021 07:16:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $BCRX : 2.18 $SRAC : 4.74 $GDRX : -0.09 $SFM : -1.74 $THCB : 1.68 $PRPL : -0.21 $KBH : 0.64 $TPR : 0.24 $UNG : -1.52 $CZR : 1.22"
2021-06-30 14:25:06+00:00,"Bear Forecasts June 30, 2021 07:21:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $SFM : -1.40 $BCRX : 2.75 $TPR : 0.52 $GDRX : -0.39 $FTNT : -0.23 $GS : 0.97 $CME : -0.39 $CZR : 1.83 $SSYS : -0.80 $AI : 1.11"
2021-06-30 20:42:09+00:00,Las Vegas casinos topping $1 billion in revenue for the second month in a row.  💪 $WYNN $LVS $CZR
2021-07-01 12:15:07+00:00,"$LVS, $CCL, $CZR, $WYNN, $KHC swings all paying from my call out the other day.  Don't sleep on the calls"
2021-07-01 19:23:44+00:00,"Virginia becomes the fastest state to record $1 billion in sports bets after passing the milestone in just over four months.  FanDuel, DraftKings, BetMGM, BetRivers, and William Hill are live in the state.  $DKNG $MGM $RSI $CZR"
2021-07-02 07:12:33+00:00,"#RT @roundhill: RT @mattdorta: Virginia becomes the fastest state to record $1 billion in sports bets after passing the milestone in just over four months.  FanDuel, DraftKings, BetMGM, BetRivers, and William Hill are live in the state.  $DKNG $MGM $RSI $CZR"
2021-07-03 14:47:52+00:00,My calculation shows that the CEO payment of $CZR is much higher than that of similar companies in the same industry (2.8 times greater than the industry average). $CZR may have the overpayment problem.
2021-07-06 15:49:59+00:00,$CZR call sweep 489 July(16) 100 calls opened for $2.36. $115K premium. 336 OI
2021-07-06 17:50:15+00:00,$CZR  Unveils Plans for a Multi-Million Dollar Entrance Renovation.
2021-07-07 23:17:43+00:00,"Here's our ""addicted""/""vice"" ETF, as voted on by followers: $AAPL $FB $AMZN $GOOG $PM $MO $SBUX $MCD $KO $PEP $MNST $BUD $TAP $DPZ $CMG $ULTA $ELF $PENN $PINS $TWTR $ETSY $YUM $DEO $DNUT $GRWG $LW $RGR $CZR $DKNG $RICK $PFOF (Robinhood IPO) $SCHW h/t to @AdvisorShares for $VICE"
2021-07-08 12:49:08+00:00,"JEFFERIES: “Our view is that the recovery continues to accelerate and as should 2022 estimates. Second, the advent of digital gaming provides a growth engine that is forthcoming in ensuing years, which should bear some value in current levels.′ Reits $MGM and $CZR as best ideas"
2021-07-08 17:19:18+00:00,why do I want to buy $CZR so badly?
